------------------------------- load model ----------------------------------
<tensorflow.python.keras.engine.functional.Functional object at 0x000001D5009E82C8>
===  reloading world ......  ===
episode:0 step:1 predict_action:[[0.03380432]] action:[[-0.05147508]] reward:[1.36273612]
episode:0 step:2 predict_action:[[0.04101973]] action:[[-0.0100108]] reward:[1.36689698]
episode:0 step:3 predict_action:[[0.04638702]] action:[[-0.07112928]] reward:[1.34196531]
episode:0 step:4 predict_action:[[0.04258904]] action:[[-0.12918213]] reward:[1.3171311]
episode:0 step:5 predict_action:[[0.04628806]] action:[[-0.06230224]] reward:[1.31101791]
episode:0 step:6 predict_action:[[0.04460007]] action:[[0.10161201]] reward:[1.2609688]
episode:0 step:7 predict_action:[[0.03546995]] action:[[-0.05577729]] reward:[1.25185463]
episode:0 step:8 predict_action:[[0.04958942]] action:[[0.21927592]] reward:[1.18827477]
episode:0 step:9 predict_action:[[0.04410885]] action:[[0.09388217]] reward:[1.21517386]
episode:0 step:10 predict_action:[[0.1264841]] action:[[0.05093608]] reward:[1.24340218]
episode:0 step:11 predict_action:[[0.02021451]] action:[[0.09010293]] reward:[1.2445194]
episode:0 step:12 predict_action:[[0.00141791]] action:[[0.0384601]] reward:[1.27724697]
episode:0 step:13 predict_action:[[-0.11462533]] action:[[-0.04414219]] reward:[1.29258848]
episode:0 step:14 predict_action:[[0.09370288]] action:[[0.07048267]] reward:[1.2910863]
episode:0 step:15 predict_action:[[0.11268525]] action:[[0.20983078]] reward:[1.26880039]
episode:0 step:16 predict_action:[[0.06245438]] action:[[-0.05967757]] reward:[1.33842131]
episode:0 step:17 predict_action:[[0.05512246]] action:[[-0.03799258]] reward:[1.37179865]
episode:0 step:18 predict_action:[[0.02872933]] action:[[0.12033674]] reward:[1.36161414]
episode:0 step:19 predict_action:[[0.03065735]] action:[[0.11324336]] reward:[1.38382099]
episode:0 step:20 predict_action:[[0.02490269]] action:[[0.0100587]] reward:[1.37685927]
episode:0 step:21 predict_action:[[0.05466541]] action:[[-0.0591206]] reward:[1.33839649]
episode:0 step:22 predict_action:[[0.07698226]] action:[[0.13094434]] reward:[1.30601049]
episode:0 step:23 predict_action:[[0.02910432]] action:[[0.03504129]] reward:[1.29979203]
episode:0 step:24 predict_action:[[0.02543167]] action:[[-0.04039141]] reward:[1.26825039]
episode:0 step:25 predict_action:[[0.01825533]] action:[[-0.04532215]] reward:[1.24834195]
episode:0 step:26 predict_action:[[0.02319161]] action:[[0.05028348]] reward:[1.2329831]
episode:0 step:27 predict_action:[[0.01851354]] action:[[-0.0421789]] reward:[1.21280954]
episode:0 step:28 predict_action:[[0.02840597]] action:[[0.01311262]] reward:[1.20124118]
episode:0 step:29 predict_action:[[0.01694549]] action:[[0.08255128]] reward:[1.16304629]
episode:0 step:30 predict_action:[[0.00645248]] action:[[0.00776924]] reward:[1.14518221]
episode:0 step:31 predict_action:[[0.01166795]] action:[[-0.03155898]] reward:[1.10541234]
episode:0 step:32 predict_action:[[7.7575445e-05]] action:[[0.12467097]] reward:[1.05817642]
episode:0 step:33 predict_action:[[-0.02319721]] action:[[0.10468893]] reward:[1.02173337]
episode:0 step:34 predict_action:[[-0.01915798]] action:[[-0.09180386]] reward:[0.97271706]
episode:0 step:35 predict_action:[[-0.05875066]] action:[[0.08625591]] reward:[0.93973793]
episode:0 step:36 predict_action:[[-0.06609728]] action:[[0.01091069]] reward:[0.91784631]
episode:0 step:37 predict_action:[[-0.0985436]] action:[[-0.10041507]] reward:[0.84767897]
episode:0 step:38 predict_action:[[-0.17197807]] action:[[-0.05490832]] reward:[0.83136242]
episode:0 step:39 predict_action:[[-0.07852799]] action:[[-0.15449902]] reward:[0.78598337]
episode:0 step:40 predict_action:[[-0.06731269]] action:[[-0.02955454]] reward:[0.81047298]
episode:0 step:41 predict_action:[[-0.06532855]] action:[[-0.2361683]] reward:[0.74701814]
episode:0 step:42 predict_action:[[-0.01146875]] action:[[0.14433926]] reward:[0.77167632]
episode:0 step:43 predict_action:[[0.03601121]] action:[[-0.12337456]] reward:[0.77883547]
episode:0 step:44 predict_action:[[0.07893447]] action:[[0.17120656]] reward:[0.75792152]
episode:0 step:45 predict_action:[[0.04274783]] action:[[0.10780058]] reward:[0.75956123]
episode:0 step:46 predict_action:[[0.04046667]] action:[[0.00946942]] reward:[0.74433038]
episode:0 step:47 predict_action:[[0.03944491]] action:[[0.05368483]] reward:[0.70272688]
episode:0 step:48 predict_action:[[0.02219823]] action:[[0.06416133]] reward:[-10]
Training  | Episode: 1/10000  | Episode Reward: 43.0354  | Running Time: 12.0112
episode:1 step:1 predict_action:[[0.01936377]] action:[[-0.02325774]] reward:[1.40839913]
episode:1 step:2 predict_action:[[0.02008716]] action:[[0.03510536]] reward:[1.40217653]
episode:1 step:3 predict_action:[[0.01715491]] action:[[0.03557744]] reward:[1.40360873]
episode:1 step:4 predict_action:[[0.02200356]] action:[[0.06067878]] reward:[1.39622074]
episode:1 step:5 predict_action:[[0.01714597]] action:[[0.0724718]] reward:[1.38355946]
episode:1 step:6 predict_action:[[0.01686871]] action:[[-0.02644718]] reward:[1.37270145]
episode:1 step:7 predict_action:[[0.01441491]] action:[[0.07450152]] reward:[1.34534794]
episode:1 step:8 predict_action:[[0.00556114]] action:[[-0.15550238]] reward:[1.30492545]
episode:1 step:9 predict_action:[[0.00703587]] action:[[0.0740798]] reward:[1.315657]
episode:1 step:10 predict_action:[[-0.02682818]] action:[[-0.08202796]] reward:[1.31050138]
episode:1 step:11 predict_action:[[-0.00507147]] action:[[0.03205275]] reward:[1.31857599]
episode:1 step:12 predict_action:[[0.00284585]] action:[[0.16220774]] reward:[1.27957205]
episode:1 step:13 predict_action:[[-0.00932926]] action:[[-0.03161085]] reward:[1.28872415]
episode:1 step:14 predict_action:[[0.00322952]] action:[[-0.03112342]] reward:[1.26404635]
episode:1 step:15 predict_action:[[-0.01411386]] action:[[-0.00515659]] reward:[1.26198303]
episode:1 step:16 predict_action:[[-0.08297147]] action:[[-0.02358413]] reward:[1.24746234]
episode:1 step:17 predict_action:[[-0.06135153]] action:[[-0.12946941]] reward:[1.21353594]
episode:1 step:18 predict_action:[[-0.03413248]] action:[[0.03279899]] reward:[1.24558433]
episode:1 step:19 predict_action:[[-0.06206176]] action:[[-0.09782811]] reward:[1.2300699]
episode:1 step:20 predict_action:[[-0.00788137]] action:[[0.05329734]] reward:[1.24629953]
episode:1 step:21 predict_action:[[-0.01526294]] action:[[-0.04518497]] reward:[1.24620222]
episode:1 step:22 predict_action:[[0.00735626]] action:[[0.03711844]] reward:[1.24906756]
episode:1 step:23 predict_action:[[-0.01026051]] action:[[0.23568271]] reward:[1.19568529]
episode:1 step:24 predict_action:[[-0.02912574]] action:[[-0.05617309]] reward:[1.21430015]
episode:1 step:25 predict_action:[[-0.04736426]] action:[[-0.03713161]] reward:[1.19684494]
episode:1 step:26 predict_action:[[-0.22175579]] action:[[-0.16925679]] reward:[1.15976777]
episode:1 step:27 predict_action:[[-0.23615597]] action:[[-0.11992617]] reward:[1.1838705]
episode:1 step:28 predict_action:[[-0.19461429]] action:[[-0.04812685]] reward:[1.22172946]
episode:1 step:29 predict_action:[[-0.22175698]] action:[[-0.04839045]] reward:[1.2350831]
episode:1 step:30 predict_action:[[-0.05683376]] action:[[-0.18893471]] reward:[1.21206609]
episode:1 step:31 predict_action:[[-0.02466424]] action:[[-0.03030737]] reward:[1.27814283]
episode:1 step:32 predict_action:[[-0.05763521]] action:[[-0.06590068]] reward:[1.29335473]
episode:1 step:33 predict_action:[[-0.03547268]] action:[[0.00861645]] reward:[1.32985902]
episode:1 step:34 predict_action:[[-0.04295895]] action:[[0.18280977]] reward:[1.30265662]
episode:1 step:35 predict_action:[[-0.01539364]] action:[[-0.00238719]] reward:[1.34729913]
episode:1 step:36 predict_action:[[-0.00557951]] action:[[-0.0245353]] reward:[1.3415837]
episode:1 step:37 predict_action:[[-0.01282479]] action:[[0.04795042]] reward:[1.34701491]
episode:1 step:38 predict_action:[[-0.02689325]] action:[[-0.15678826]] reward:[1.32422098]
episode:1 step:39 predict_action:[[-0.00396686]] action:[[0.07895686]] reward:[1.35982426]
episode:1 step:40 predict_action:[[-0.02694837]] action:[[-0.01171951]] reward:[1.38942904]
episode:1 step:41 predict_action:[[-0.01548981]] action:[[0.2320527]] reward:[1.34260578]
episode:1 step:42 predict_action:[[-0.02981247]] action:[[-0.05831424]] reward:[1.38106092]
episode:1 step:43 predict_action:[[-0.01155799]] action:[[-0.02833001]] reward:[1.38386604]
episode:1 step:44 predict_action:[[-0.01778858]] action:[[0.05849721]] reward:[1.38516452]
episode:1 step:45 predict_action:[[-0.03626437]] action:[[-0.07240328]] reward:[1.38209398]
episode:1 step:46 predict_action:[[-0.01064076]] action:[[-0.00856826]] reward:[1.40684454]
episode:1 step:47 predict_action:[[-0.03874286]] action:[[-0.11555049]] reward:[1.38072297]
episode:1 step:48 predict_action:[[-0.0105374]] action:[[-0.04654367]] reward:[1.37972619]
episode:1 step:49 predict_action:[[-0.01413954]] action:[[2.3278408e-05]] reward:[1.37124115]
episode:1 step:50 predict_action:[[-0.01222409]] action:[[0.05431501]] reward:[1.34388162]
episode:1 step:51 predict_action:[[0.00735635]] action:[[-0.00256341]] reward:[1.35141554]
episode:1 step:52 predict_action:[[0.0118498]] action:[[0.09927639]] reward:[1.31877817]
episode:1 step:53 predict_action:[[0.00820124]] action:[[-0.00129203]] reward:[1.34501981]
episode:1 step:54 predict_action:[[0.01694987]] action:[[-0.1674895]] reward:[1.30105342]
episode:1 step:55 predict_action:[[0.01349728]] action:[[-0.12751582]] reward:[1.29033248]
episode:1 step:56 predict_action:[[0.01007257]] action:[[0.20448758]] reward:[1.23677967]
episode:1 step:57 predict_action:[[0.00938013]] action:[[0.02610603]] reward:[1.26809839]
episode:1 step:58 predict_action:[[0.00834861]] action:[[0.09852947]] reward:[1.24990972]
episode:1 step:59 predict_action:[[0.01251636]] action:[[-0.04479492]] reward:[1.26602865]
episode:1 step:60 predict_action:[[0.01763294]] action:[[0.02894184]] reward:[1.2623014]
episode:1 step:61 predict_action:[[0.01102013]] action:[[0.0032802]] reward:[1.26248425]
episode:1 step:62 predict_action:[[0.00773413]] action:[[0.03016718]] reward:[1.24940145]
episode:1 step:63 predict_action:[[0.00325034]] action:[[0.0302672]] reward:[1.24552751]
episode:1 step:64 predict_action:[[0.00605493]] action:[[0.1261826]] reward:[1.22004787]
episode:1 step:65 predict_action:[[0.00374723]] action:[[0.15217382]] reward:[1.22360509]
episode:1 step:66 predict_action:[[-0.00342584]] action:[[0.04881898]] reward:[1.27227982]
episode:1 step:67 predict_action:[[-0.00636345]] action:[[0.06965297]] reward:[1.28349952]
episode:1 step:68 predict_action:[[-0.09105075]] action:[[-0.03676127]] reward:[1.30581347]
episode:1 step:69 predict_action:[[-0.17803615]] action:[[-0.36479038]] reward:[1.23034831]
episode:1 step:70 predict_action:[[-0.02547192]] action:[[-0.11050255]] reward:[1.28118546]
episode:1 step:71 predict_action:[[-0.02087736]] action:[[0.08175744]] reward:[1.26372454]
episode:1 step:72 predict_action:[[-0.05274548]] action:[[-0.19400948]] reward:[1.23297363]
episode:1 step:73 predict_action:[[0.01576843]] action:[[-0.08821923]] reward:[1.24861006]
episode:1 step:74 predict_action:[[0.00187256]] action:[[0.06154867]] reward:[1.23082289]
episode:1 step:75 predict_action:[[-0.00532896]] action:[[0.02465334]] reward:[1.23221106]
episode:1 step:76 predict_action:[[0.00822721]] action:[[0.02987177]] reward:[1.2288054]
episode:1 step:77 predict_action:[[-0.01259544]] action:[[-0.10137987]] reward:[1.20959054]
episode:1 step:78 predict_action:[[-0.04947606]] action:[[-0.12625858]] reward:[1.18706673]
episode:1 step:79 predict_action:[[0.00601105]] action:[[0.03689043]] reward:[1.18098181]
episode:1 step:80 predict_action:[[0.01076809]] action:[[0.14158845]] reward:[1.13695616]
episode:1 step:81 predict_action:[[0.01446771]] action:[[0.05477617]] reward:[1.16442177]
episode:1 step:82 predict_action:[[-0.15773217]] action:[[-0.09094933]] reward:[1.16145949]
episode:1 step:83 predict_action:[[0.0937318]] action:[[0.04691114]] reward:[1.17665906]
episode:1 step:84 predict_action:[[0.17744878]] action:[[0.2250931]] reward:[1.13686566]
episode:1 step:85 predict_action:[[0.21621361]] action:[[0.12615812]] reward:[1.18269922]
episode:1 step:86 predict_action:[[0.29196903]] action:[[0.24396938]] reward:[1.18256142]
episode:1 step:87 predict_action:[[0.21223791]] action:[[0.10066663]] reward:[1.25883518]
episode:1 step:88 predict_action:[[0.3090896]] action:[[0.30514774]] reward:[1.24607973]
episode:1 step:89 predict_action:[[0.16438912]] action:[[0.17469028]] reward:[1.32495447]
episode:1 step:90 predict_action:[[0.3074262]] action:[[0.5280209]] reward:[1.25478553]
episode:1 step:91 predict_action:[[0.14060697]] action:[[0.03824856]] reward:[1.30130438]
episode:1 step:92 predict_action:[[0.21246491]] action:[[0.33997005]] reward:[1.13496339]
episode:1 step:93 predict_action:[[0.11425326]] action:[[0.16332762]] reward:[1.09270206]
episode:1 step:94 predict_action:[[0.08638847]] action:[[0.03793477]] reward:[-10]
Training  | Episode: 2/10000  | Episode Reward: 108.6581  | Running Time: 35.0302
episode:2 step:1 predict_action:[[0.02372196]] action:[[0.10837377]] reward:[1.38710933]
episode:2 step:2 predict_action:[[0.02372196]] action:[[0.07177695]] reward:[1.3962617]
episode:2 step:3 predict_action:[[-0.00305656]] action:[[0.0615712]] reward:[1.38874225]
episode:2 step:4 predict_action:[[-0.6444285]] action:[[-0.52226245]] reward:[1.25208045]
episode:2 step:5 predict_action:[[-0.5266005]] action:[[-0.47128975]] reward:[1.26160985]
